directorId,name,birthYear,deathYear
nm0000005,Ingmar Bergman,1918.0,2007.0
nm0000008,Marlon Brando,1924.0,2004.0
nm0000018,Kirk Douglas,1916.0,2020.0
nm0000019,Federico Fellini,1920.0,1993.0
nm0000032,Charlton Heston,1923.0,2008.0
nm0000033,Alfred Hitchcock,1899.0,1980.0
nm0000036,Buster Keaton,1895.0,1966.0
nm0000037,Gene Kelly,1912.0,1996.0
nm0000040,Stanley Kubrick,1928.0,1999.0
nm0000041,Akira Kurosawa,1910.0,1998.0
nm0000044,Burt Lancaster,1913.0,1994.0
nm0000045,Bruce Lee,1940.0,1973.0
nm0000048,Peter Lorre,1904.0,1964.0
nm0000056,Paul Newman,1925.0,2008.0
nm0000059,Laurence Olivier,1907.0,1989.0
nm0000063,Anthony Quinn,1915.0,2001.0
nm0000069,Frank Sinatra,1915.0,1998.0
nm0000076,François Truffaut,1932.0,1984.0
nm0000078,John Wayne,1907.0,1979.0
nm0000080,Orson Welles,1915.0,1985.0
nm0000088,Aleksey Korenev,1927.0,1995.0
nm0000091,Gérard Pirès,1942.0,
nm0000092,John Cleese,1939.0,
nm0000095,Woody Allen,1935.0,
nm0000101,Dan Aykroyd,1952.0,
nm0000102,Kevin Bacon,1958.0,
nm0000104,Antonio Banderas,1960.0,
nm0000106,Drew Barrymore,1975.0,
nm0000108,Luc Besson,1959.0,
nm0000110,Kenneth Branagh,1960.0,
nm0000111,Matthew Broderick,1962.0,
nm0000114,Steve Buscemi,1957.0,
nm0000115,Nicolas Cage,1964.0,
nm0000116,James Cameron,1954.0,
nm0000118,John Carpenter,1948.0,
nm0000122,Charles Chaplin,1889.0,1977.0
nm0000123,George Clooney,1961.0,
nm0000126,Kevin Costner,1955.0,
nm0000127,Wes Craven,1939.0,2015.0
nm0000128,Russell Crowe,1964.0,
nm0000134,Robert De Niro,1943.0,
nm0000136,Johnny Depp,1963.0,
nm0000141,David Duchovny,1960.0,
nm0000142,Clint Eastwood,1930.0,
nm0000146,Ralph Fiennes,1962.0,
nm0000149,Jodie Foster,1962.0,
nm0000151,Morgan Freeman,1937.0,
nm0000154,Mel Gibson,1956.0,
nm0000155,Whoopi Goldberg,1955.0,
nm0000158,Tom Hanks,1956.0,
nm0000160,Ethan Hawke,1970.0,
nm0000163,Dustin Hoffman,1937.0,
nm0000164,Anthony Hopkins,1937.0,
nm0000165,Ron Howard,1954.0,
nm0000166,Helen Hunt,1963.0,
nm0000169,Tommy Lee Jones,1946.0,
nm0000175,Stephen King,1947.0,
nm0000180,David Lean,1908.0,1991.0
nm0000184,George Lucas,1944.0,
nm0000186,David Lynch,1946.0,
nm0000187,Madonna,1958.0,
nm0000191,Ewan McGregor,1971.0,
nm0000196,Mike Myers,1963.0,
nm0000197,Jack Nicholson,1937.0,
nm0000198,Gary Oldman,1958.0,
nm0000199,Al Pacino,1940.0,
nm0000200,Bill Paxton,1955.0,2017.0
nm0000202,Ryan Phillippe,1974.0,
nm0000204,Natalie Portman,1981.0,
nm0000209,Tim Robbins,1958.0,
nm0000212,Meg Ryan,1961.0,
nm0000217,Martin Scorsese,1942.0,
nm0000219,Steven Seagal,1952.0,
nm0000228,Kevin Spacey,1959.0,
nm0000229,Steven Spielberg,1946.0,
nm0000230,Sylvester Stallone,1946.0,
nm0000231,Oliver Stone,1946.0,
nm0000233,Quentin Tarantino,1963.0,
nm0000241,Jean-Claude Van Damme,1960.0,
nm0000243,Denzel Washington,1954.0,
nm0000247,John Woo,1946.0,
nm0000248,Edward D. Wood Jr.,1924.0,1978.0
nm0000255,Ben Affleck,1972.0,
nm0000257,Alan Alda,1936.0,
nm0000264,Pedro Almodóvar,1949.0,
nm0000265,Robert Altman,1925.0,2006.0
